Postcode,lat,Lon
1011KV,52.37085097,4.90434960
1011KW,52.37070670,4.90370746
1011KX,52.37211133,4.90564294
1011KZ,52.37251134,4.90542405
1011LA,52.37183010,4.90480405
1011LB,52.37156713,4.90437609
1011LC,52.37133124,4.90365167
1011LD,52.37140955,4.90334664
1011LE,52.37087683,4.90255674
1011LH,52.37173823,4.90676502
1011LJ,52.37074048,4.90435195
1011LK,52.37054353,4.90450015
1011LL,52.37007786,4.90280251
1011LM,52.37133725,4.90740030
1011LN,52.37009393,4.90434265
1011LP,52.37142546,4.90688317
1011LR,52.37125309,4.90648867
1011LS,52.37110768,4.90612314
1011LT,52.37098725,4.90588583
1011LV,52.37081764,4.90549479
1011LW,52.37066318,4.90508532
1011LX,52.37028200,4.90417908
1011LZ,52.37051642,4.90878721
1011MA,52.37201184,4.90087279
1011MB,52.37202113,4.90088556
1011MC,52.37101654,4.90139593
1011ME,52.37211316,4.90093460
1011MG,52.36993088,4.90845581
1011MH,52.36952187,4.90732960
1011MJ,52.36916750,4.90637902
1011MK,52.36967167,4.90884095
1011ML,52.36918184,4.90770036
1011MN,52.36884532,4.90677954
1011MP,52.36981476,4.90873691
1011MR,52.36957788,4.90799139
1011MS,52.36732468,4.90189142
1011MT,52.36910595,4.90685081
1011MV,52.36871473,4.90579923
1011MX,52.37023041,4.90504879
1011MZ,52.37012179,4.90475553
1011NA,52.36996768,4.90690108
1011NB,52.36948991,4.90609654
1011NC,52.36954995,4.90561377
1011ND,52.36916955,4.90523378
1011NE,52.37253834,4.90234950
1011NG,52.36985838,4.90298773
1011NH,52.36909118,4.90391734
1011NK,52.36887248,4.90235903
1011NK,52.36940691,4.90187205
1011NM,52.36907745,4.90200468
1011NN,52.36905079,4.90200468
1011NP,52.36905079,4.90200468
1011NR,52.36905079,4.90200468
1011NS,52.36905079,4.90317196
1011NV,52.36916365,4.90137471
1011NX,52.36894916,4.90135596
1011NZ,52.36886918,4.90159633
1011PA,52.36882448,4.90161081
1011PB,52.36885156,4.90184642
1011PC,52.36875336,4.90183184
1011PD,52.36876235,4.90181706
1011PE,52.36878026,4.90186091
1011PG,52.36874419,4.90315924
1011PL,52.36736892,4.90391714
1011PM,52.36734884,4.90340347
1011PN,52.36764770,4.90038774
1011PT,52.36743512,4.90183261
1011PV,52.36640767,4.90182833
1011PW,52.36634488,4.90193346
1011PZ,52.36806576,4.90662952
1011RA,52.36762756,4.90594180
1011RB,52.36748769,4.90625120
1011RC,52.36739658,4.90645772
1011RD,52.36792751,4.90513321
1011RE,52.36760540,4.90572479
1011RG,52.36718784,4.90606384
1011RH,52.36716269,4.90438060
1011RJ,52.36620229,4.90215330
1011RK,52.36626664,4.90250497
1011RL,52.36646285,4.90296180
1011RM,52.36644861,4.90328134
1011RN,52.36657941,4.90426344
1011RP,52.36718975,4.90626831
1011RR,52.36732551,4.90650176
1011RS,52.36771405,4.90701199
1011RT,52.36770513,4.90702633
1011RV,52.36769620,4.90704101
1011RW,52.36768721,4.90704111
1011RX,52.36792225,4.90738113
1011RZ,52.36815717,4.90770577
1011SB,52.36848291,4.90822182
1011SC,52.36859389,4.90842325
1011SE,52.36872209,4.90858646
1011SG,52.36890781,4.90886339
1011SK,52.36963106,4.90989831
1011SM,52.36940364,4.90257348
1011SN,52.36966760,4.91003007
1011SP,52.37006553,4.91064220
1011SR,52.36953078,4.90953201
1011ST,52.36935877,4.90922551
1011SV,52.36935877,4.90922551
1011SW,52.36935877,4.90922551
1011SX,52.36935877,4.90922551
1011SZ,52.36938526,4.90922611
1011TA,52.37006002,4.90927669
1011TB,52.37219645,4.90943285
1011TC,52.37187664,4.91033412
1011TD,52.37129915,4.91207112
1011TE,52.37513550,4.90820688
1011TG,52.37244187,4.90794583
1011TJ,52.37204278,4.90840364
1011TK,52.36952173,4.90967961
1011TL,52.37202344,4.90806612
1011TM,52.37148014,4.91018168
1011TN,52.37081121,4.91074675
1011TP,52.37063238,4.91106338
1011TR,52.37094267,4.91196901
1011TS,52.37072561,4.91163361
1011TT,52.37200291,4.90805532
1011TV,52.37163809,4.90966181
1011TW,52.37068801,4.91063685
1011TX,52.37196588,4.90765838
1011TZ,52.37161788,4.90928276
1011VA,52.37044482,4.91109332
1011VB,52.37033585,4.91144017
1011VC,52.37006470,4.91043664
1011VD,52.37006470,4.91043664
1011VE,52.37006470,4.91043664
1011VG,52.37006470,4.91043664
1011VH,52.37006470,4.91043664
1011VJ,52.37007416,4.91061293
1011VK,52.36923801,4.90858954
1011VL,52.36902120,4.90814899
1011VM,52.36858317,4.90682602
1011VP,52.37095643,4.90890351
1011VR,52.36709714,4.90343617
1011VS,52.36693507,4.90402559
1011VT,52.36730217,4.90297818
1011VW,52.36791748,4.90016815
1011VX,52.37462054,4.91250091
1011VX,52.37151093,4.91327047
1011VZ,52.37411524,4.91290534
1011WB,52.37049135,4.90046705
1011WC,52.36983462,4.90066285
1011WD,52.36984481,4.90069133
1011XA,52.36996798,4.89996862
1012AA,52.38054693,4.90248787
1012AB,52.37983993,4.90315253
1012AC,52.37659022,4.89985387
1012AD,52.37656840,4.90076227
1012AE,52.37675290,4.90229109
1012AG,52.37655439,4.90013812
1012AH,52.37640034,4.89997678
1012AJ,52.37633973,4.89994297
1012AK,52.37598247,4.90043211
1012AL,52.37628508,4.90180806
1012AM,52.37574355,4.90125594
1012AN,52.37631422,4.90062242
1012AP,52.37578644,4.90096362
1012AR,52.37558082,4.90121671
1012AS,52.37504194,4.90111677
1012AT,52.37433864,4.90056695
1012AV,52.37394254,4.90046128
1012AW,52.37353769,4.90034186
1012AX,52.37628647,4.90050593
1012AZ,52.37574102,4.90099634
1012BA,52.37510407,4.90093760
1012BB,52.37440095,4.90041892
1012BB,52.37450837,4.90034530
1012BC,52.37339316,4.90013984
1012BD,52.37441120,4.90093356
1012BE,52.37419315,4.90024616
1012BG,52.37367834,4.90009154
1012BH,52.37633985,4.90201345
1012BJ,52.37534902,4.90157917
1012BJ,52.37511396,4.90127821
1012BK,52.37497071,4.90142273
1012BL,52.37459240,4.90107765
1012BM,52.37415883,4.90091279
1012BN,52.37363564,4.90058504
1012BP,52.37329074,4.90006622
1012BR,52.37303222,4.89978782
1012BS,52.37306454,4.89973284
1012BT,52.37319151,4.89932530
1012BV,52.37256824,4.89937078
1012BW,52.37218914,4.89887481
1012BX,52.37219814,4.89899723
1012BZ,52.37197229,4.89886097
1012CA,52.37186402,4.89871754
1012CB,52.37169556,4.89829014
1012CC,52.37144410,4.89854263
1012CD,52.37146633,4.89836950
1012CE,52.37137639,4.89812365
1012CG,52.37080540,4.89812365
1012CH,52.37053250,4.89733374
1012CJ,52.37067228,4.89739614
1012CK,52.37023105,4.89716300
1012CL,52.37011312,4.89698839
1012CM,52.37000515,4.89626811
1012CN,52.36961081,4.89613987
1012CP,52.36825056,4.89574429
1012CR,52.37318730,4.90034413
1012CS,52.37249208,4.89957379
1012CT,52.37214042,4.89929885
1012CV,52.37176181,4.89906767
1012CW,52.37154484,4.89879145
1012CX,52.37080540,4.89812365
1012CZ,52.36961081,4.89655606
1012DA,52.37442737,4.90031751
1012DB,52.37362399,4.89944357
1012DC,52.37299002,4.89918974
1012DD,52.37252246,4.89896204
1012DE,52.37229668,4.89796036
1012DG,52.37190853,4.89755349
1012DH,52.37131288,4.89695802
1012DJ,52.37102413,4.89691784
1012DK,52.37067228,4.89636306
1012DL,52.37006776,4.89579719
1012DM,52.37513827,4.90049894
1012DN,52.37452490,4.89996232
1012DP,52.37426300,4.89965681
1012DR,52.37344954,4.89863812
1012DR,52.37344122,4.89871134
1012DS,52.37289015,4.89808617
1012DT,52.37240301,4.89759208
1012DV,52.37208700,4.89724315
1012DW,52.37142819,4.89658964
1012DX,52.37028223,4.89550104
1012DZ,52.37534437,4.90057108
1012EA,52.37466827,4.89993167
1012EB,52.37384656,4.89914801
1012EC,52.37259946,4.89760587
1012ED,52.37182217,4.89674888
1012EE,52.37139831,4.89632184
1012EG,52.37094668,4.89560658
1012EH,52.37526331,4.90049894
1012EJ,52.37462243,4.89963818
1012EK,52.37413340,4.89907427
1012EL,52.37380964,4.89881324
1012EM,52.37338882,4.89839877
1012EN,52.37317707,4.89786254
1012EP,52.37295124,4.89758603
1012ER,52.37270730,4.89728035
1012ES,52.37257164,4.89707627
1012ET,52.37212920,4.89669986
1012EV,52.37196735,4.89644474
1012EW,52.37169550,4.89602869
1012EX,52.37094668,4.89560658
1012EZ,52.37001892,4.89490283
1012GA,52.36941065,4.89385176
1012GB,52.36937373,4.89316178
1012GC,52.36916122,4.89411935
1012GD,52.37577431,4.90002212
1012GE,52.37507071,4.89936892
1012GG,52.37388821,4.89795730
1012GH,52.37327229,4.89674865
1012GH,52.37362553,4.89760799
1012GJ,52.37274027,4.89656045
1012GK,52.37206257,4.89568689
1012GL,52.37134617,4.89452149
1012GL,52.37146636,4.89501813
1012GM,52.36982676,4.89408349
1012GN,52.37597070,4.89972635
1012GP,52.37579753,4.89977495
1012GR,52.37547235,4.89917092
1012GS,52.37522793,4.89906107
1012GT,52.37512859,4.89900467
1012GV,52.37478525,4.89775709
1012GW,52.37445035,4.89718787
1012GX,52.37448344,4.89862644
1012GZ,52.37484033,4.89878658
1012HA,52.37397469,4.89767830
1012HB,52.37384924,4.89753255
1012HC,52.37401102,4.89731981
